Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
DOE-WPTO US Wave dataset,97045,b'Federal',18.333422,-155.75226,0,-10,64277.215,-,s,deg,s,deg,s,W/m,s,m,-,4970.0254,v1.0.0
Year,Month,Day,Hour,Minute,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Wave Power,Peak Period,Significant Wave Height,Spectral Width
2010,11,13,3,0,0.7877309918403625,7.180699825286865,191.25,6.137800216674805,19957,8.926199913024902,2.381920099258423,0.36204999685287476
2010,11,13,6,0,0.7823600172996521,7.173900127410889,191.25,6.066400051116943,18398,8.926199913024902,2.2883200645446777,0.3735699951648712
2010,11,13,9,0,0.7770519852638245,7.122799873352051,191.25,6.006199836730957,18213,8.926199913024902,2.2850000858306885,0.38051000237464905
2010,11,13,12,0,0.7842850089073181,7.0619001388549805,191.25,5.998199939727783,20717,8.12440013885498,2.4474799633026123,0.37286999821662903
2010,11,13,15,0,0.7991970181465149,7.0680999755859375,191.25,6.0391998291015625,23535,8.12440013885498,2.6074700355529785,0.3630799949169159
2010,11,13,18,0,0.8065109848976135,7.1778998374938965,191.25,6.123700141906738,23523,8.926199913024902,2.586669921875,0.3618600070476532
2010,11,13,21,0,0.8039140105247498,7.243299961090088,191.25,6.131899833679199,23076,8.926199913024902,2.550339937210083,0.36970001459121704
2010,11,14,0,0,0.8031449913978577,7.453800201416016,183.75,6.2347002029418945,21333,8.926199913024902,2.4173800945281982,0.37509000301361084
2010,11,14,3,0,0.8102030158042908,7.434899806976318,183.75,6.184299945831299,21588,8.926199913024902,2.4349100589752197,0.3815099895000458
2010,11,14,6,0,0.8157950043678284,7.429100036621094,191.25,6.250199794769287,23408,8.926199913024902,2.53617000579834,0.3740699887275696
2010,11,14,9,0,0.8053039908409119,7.6493000984191895,191.25,6.413099765777588,22673,9.807000160217285,2.4596500396728516,0.3774699866771698
2010,11,14,12,0,0.8016629815101624,7.577000141143799,191.25,6.2245001792907715,23195,9.807000160217285,2.500230073928833,0.3989199995994568
2010,11,14,15,0,0.798524022102356,7.677999973297119,191.25,6.385000228881836,23727,9.807000160217285,2.5115699768066406,0.3930799961090088
2010,11,14,18,0,0.7955870032310486,7.770199775695801,191.25,6.372799873352051,24168,9.807000160217285,2.5199499130249023,0.4050000011920929
2010,11,14,21,0,0.7832480072975159,7.980199813842773,191.25,6.5605998039245605,25863,9.807000160217285,2.5718801021575928,0.4142099916934967
2010,11,15,0,0,0.7604470252990723,8.140899658203125,191.25,6.566800117492676,27358,9.807000160217285,2.6190500259399414,0.4381699860095978
2010,11,15,3,0,0.7301959991455078,8.54319953918457,191.25,6.890100002288818,29453,9.807000160217285,2.652400016784668,0.44161999225616455
2010,11,15,6,0,0.6797509789466858,8.958000183105469,191.25,7.093299865722656,31990,9.807000160217285,2.699399948120117,0.4562700092792511
2010,11,15,9,0,0.6276050209999084,9.001299858093262,191.25,6.8958001136779785,36265,9.807000160217285,2.867579936981201,0.4857900142669678
2010,11,15,12,0,0.5877500176429749,9.121399879455566,183.75,7.038700103759766,41352,9.807000160217285,3.041640043258667,0.48263001441955566
2010,11,15,15,0,0.5555189847946167,9.09060001373291,183.75,6.967899799346924,45893,9.807000160217285,3.2097198963165283,0.48680999875068665
2010,11,15,18,0,0.5300019979476929,9.407600402832031,183.75,7.35260009765625,49101,15.699999809265137,3.2629499435424805,0.4605500102043152
2010,11,15,21,0,0.5156270265579224,9.420900344848633,183.75,7.35830020904541,52268,15.699999809265137,3.364259958267212,0.4512700140476227
2010,11,16,0,0,0.5027400255203247,9.523300170898438,183.75,7.508699893951416,51930,15.699999809265137,3.3353099822998047,0.43362998962402344
2010,11,16,3,0,0.5055609941482544,9.562399864196777,183.75,7.672900199890137,49838,15.699999809265137,3.2603800296783447,0.4148699939250946
2010,11,16,6,0,0.5113829970359802,9.548199653625488,183.75,7.732399940490723,46892,9.807000160217285,3.1649999618530273,0.400299996137619
2010,11,16,9,0,0.515142023563385,9.575900077819824,183.75,7.8221001625061035,43544,9.807000160217285,3.045419931411743,0.3857400119304657
2010,11,16,12,0,0.5188149809837341,9.57509994506836,183.75,7.884900093078613,40382,9.807000160217285,2.93287992477417,0.373089998960495
2010,11,16,15,0,0.5166159868240356,9.692399978637695,183.75,8.107500076293945,36406,9.807000160217285,2.7677500247955322,0.35262998938560486
2010,11,16,18,0,0.5237939953804016,9.482600212097168,183.75,7.853600025177002,33388,9.807000160217285,2.679919958114624,0.35850998759269714
2010,11,16,21,0,0.5375670194625854,9.241600036621094,183.75,7.574900150299072,30831,9.807000160217285,2.6088500022888184,0.36636999249458313
2010,11,17,0,0,0.5534840226173401,9.024200439453125,183.75,7.43310022354126,28738,9.807000160217285,2.548919916152954,0.36667999625205994
2010,11,17,3,0,0.5576300024986267,9.044899940490723,183.75,7.576499938964844,25784,9.807000160217285,2.411449909210205,0.3499700129032135
2010,11,17,6,0,0.5571460127830505,9.088199615478516,183.75,7.681300163269043,22780,8.926199913024902,2.261199951171875,0.33629998564720154
2010,11,17,9,0,0.5576990246772766,9.054499626159668,183.75,7.696199893951416,20504,8.926199913024902,2.1492199897766113,0.3313699960708618
2010,11,17,12,0,0.5581920146942139,9.163299560546875,183.75,8.00879955291748,18607,8.926199913024902,2.0348799228668213,0.31303998827934265
2010,11,17,15,0,0.562466025352478,9.163700103759766,183.75,7.987800121307373,17144,8.926199913024902,1.9533300399780273,0.3147999942302704
2010,11,17,18,0,0.5675280094146729,9.055399894714355,183.75,7.673699855804443,16239,8.926199913024902,1.9127600193023682,0.3377000093460083
2010,11,17,21,0,0.5682770013809204,8.919500350952148,191.25,7.287300109863281,16189,8.926199913024902,1.9246799945831299,0.37448999285697937
2010,11,18,0,0,0.5511950254440308,9.225600242614746,191.25,7.547100067138672,16702,8.926199913024902,1.9220499992370605,0.37929001450538635
2010,11,18,3,0,0.533374011516571,9.614800453186035,191.25,7.911799907684326,17875,8.926199913024902,1.9475200176239014,0.3730500042438507
2010,11,18,6,0,0.522944986820221,9.9443998336792,191.25,8.279800415039062,19404,8.926199913024902,1.9950300455093384,0.35815000534057617
2010,11,18,9,0,0.5175679922103882,10.191800117492676,198.75,8.687899589538574,20695,10.774800300598145,2.034940004348755,0.334960013628006
2010,11,18,12,0,0.5088390111923218,10.370100021362305,198.75,9.10159969329834,21337,10.774800300598145,2.048219919204712,0.31007999181747437
2010,11,18,15,0,0.4976840019226074,10.436800003051758,198.75,9.353699684143066,21421,10.774800300598145,2.045520067214966,0.2926900088787079
2010,11,18,18,0,0.49069300293922424,10.414999961853027,198.75,9.452799797058105,20852,10.774800300598145,2.0202200412750244,0.2809999883174896
2010,11,18,21,0,0.48736798763275146,10.311699867248535,198.75,9.310400009155273,19946,10.774800300598145,1.9859100580215454,0.2782999873161316
2010,11,19,0,0,0.4818750023841858,10.271499633789062,198.75,9.412500381469727,19060,10.774800300598145,1.9448800086975098,0.26861000061035156
2010,11,19,3,0,0.4810839891433716,10.209699630737305,198.75,9.426199913024902,18215,10.774800300598145,1.906999945640564,0.26179999113082886
2010,11,19,6,0,0.4871459901332855,10.119500160217285,198.75,9.387200355529785,17410,10.774800300598145,1.8726500272750854,0.2554999887943268
2010,11,19,9,0,0.49065300822257996,10.036700248718262,198.75,9.342100143432617,16808,10.774800300598145,1.8475699424743652,0.24991999566555023
2010,11,19,12,0,0.4899219870567322,9.962499618530273,198.75,9.300700187683105,16362,10.774800300598145,1.8296300172805786,0.2448599934577942
2010,11,19,15,0,0.488303005695343,9.879199981689453,198.75,9.245499610900879,15873,10.774800300598145,1.8097100257873535,0.24108000099658966
2010,11,19,18,0,0.48717400431632996,9.789600372314453,198.75,9.178799629211426,15313,10.774800300598145,1.7855600118637085,0.23880000412464142
2010,11,19,21,0,0.486954003572464,9.694999694824219,198.75,9.10319995880127,14683,10.774800300598145,1.7570099830627441,0.23728999495506287
2010,11,20,0,0,0.48854300379753113,9.592300415039062,198.75,9.016799926757812,13969,10.774800300598145,1.7228699922561646,0.23576000332832336
2010,11,20,3,0,0.4919230043888092,9.486200332641602,198.75,8.925999641418457,13218,10.774800300598145,1.685289978981018,0.2340800017118454
2010,11,20,6,0,0.49501100182533264,9.38379955291748,198.75,8.836799621582031,12473,9.807000160217285,1.6459699869155884,0.23270000517368317
2010,11,20,9,0,0.49748799204826355,9.288399696350098,191.25,8.750300407409668,11739,9.807000160217285,1.6050399541854858,0.2326499968767166
2010,11,20,12,0,0.4988830089569092,9.206600189208984,191.25,8.658499717712402,11053,9.807000160217285,1.5642999410629272,0.23777000606060028
2010,11,20,15,0,0.49821600317955017,9.142200469970703,191.25,8.550600051879883,10469,9.807000160217285,1.5277999639511108,0.2511099874973297
2010,11,20,18,0,0.49690499901771545,9.092700004577637,191.25,8.453399658203125,10012,9.807000160217285,1.4981199502944946,0.2674199938774109
2010,11,20,21,0,0.49701300263404846,9.009900093078613,191.25,8.300700187683105,9614,9.807000160217285,1.4748300313949585,0.2828800082206726
2010,11,21,0,0,0.49578800797462463,8.925800323486328,183.75,8.15779972076416,9231,9.807000160217285,1.451990008354187,0.2947100102901459
2010,11,21,3,0,0.48797500133514404,8.93910026550293,183.75,8.148300170898438,8934,9.807000160217285,1.4273600578308105,0.30515000224113464
2010,11,21,6,0,0.4690069854259491,9.049500465393066,183.75,8.196800231933594,8804,8.926199913024902,1.408270001411438,0.3217200040817261
2010,11,21,9,0,0.4461590051651001,9.045100212097168,183.75,7.744500160217285,8832,8.926199913024902,1.4114099740982056,0.3608599901199341
2010,11,21,12,0,0.4214569926261902,9.10669994354248,176.25,7.60260009765625,8899,8.926199913024902,1.4120899438858032,0.38291001319885254
2010,11,21,15,0,0.3894200026988983,9.155200004577637,168.75,7.373700141906738,9215,8.926199913024902,1.4333100318908691,0.4047499895095825
2010,11,21,18,0,0.36325401067733765,9.269000053405762,326.25,7.291299819946289,9826,8.926199913024902,1.471019983291626,0.4156399965286255
